ID;Priorität;Vorname;Nachname;Firma;Branche;Abteilung;E-Mail;Telefon;Bevorzugter Social Media Kanal;Sprache;Land;Bundesland;PLZ;Stadt;Hausnummer;Interesse an;Erinnerung
1;1;John;Doe;ABC Company;Technology;Sales;john.doe@example.com;1234567890;Twitter;English;USA;California;12345;Los Angeles;123;Product A;07.08.2024
2;4;Jane;Smith;XYZ Inc.;Finance;Marketing;jane.smith@example.com;9876543210;Facebook;Spanish;Spain;Madrid;54321;Barcelona;456;Product B;22.09.2024
3;3;Alice;Johnson;ACME Corp;Manufacturing;Engineering;alice.johnson@example.com;4561237890;Instagram;German;Germany;Bavaria;67890;Munich;789;Product C;
4;5;Michael;Brown;Tech Solutions;Technology;IT;michael.brown@example.com;2345678901;Twitter;English;USA;New York;54321;New York City;456;Product A;20.12.2028
5;5;Maria;Garcia;Garcia Enterprises;Hospitality;HR;maria.garcia@example.com;7890123456;Facebook;Spanish;Spain;Valencia;98765;Valencia;789;Product B;
6;1;Justin;Martinez;Martinez Ltd.;Retail;Sales;david.martinez@example.com;8901234567;Instagram;German;Germany;Berlin;34567;Berlin;234;Product C;03.02.2026
7;0;Sarah;Jones;Jones & Sons;Finance;Finance;sarah.jones@example.com;5678901234;Twitter;English;USA;Texas;67890;Houston;567;Product A;
8;3;Daniel;Wilson;Wilson Corporation;Manufacturing;Engineering;daniel.wilson@example.com;4567890123;Facebook;Spanish;Spain;Barcelona;23456;Barcelona;890;Product B;
9;0;Laura;Lopez;Lopez Enterprises;Technology;IT;laura.lopez@example.com;6789012345;Instagram;German;Germany;Hamburg;78901;Hamburg;345;Product C;
10;2;James;Taylor;Taylor Ltd.;Retail;Sales;james.taylor@example.com;7890123456;Twitter;English;USA;Florida;12345;Miami;678;Product A;
11;5;Sophia;Rodriguez;Rodriguez Company;Hospitality;HR;sophia.rodriguez@example.com;8901234567;Facebook;Spanish;Spain;Seville;56789;Seville;901;Product B;
12;1;Alexander;Gonzalez;Gonzalez Group;Finance;Finance;alexander.gonzalez@example.com;9012345678;Instagram;German;Germany;Munich;23456;Munich;123;Product C;
40;1;Hermine;Granger;;;;;;;;;;;;;;06.06.2025
60;5;Joshua;Kadison;Groove GmbH;Music;Production;joshua.kadison@example.com;589547546;Instagram;English;England;London;589642;London;458;Product C;
61;4;Emily;Wilson;Tech Solutions;Technology;Development;emily.wilson@example.com;745821369;Twitter;French;France;Paris;745698;Paris;369;Product A;26.08.2029
62;3;Alexander;Schmidt;FoodWorks;Restaurant;Chef;alexander.schmidt@example.com;632587941;Facebook;German;Germany;Berlin;632587;Berlin;582;Product B;24.05.2024
63;2;Sophia;Lee;FashionTrend;Clothing;Design;sophia.lee@example.com;859641237;Instagram;Spanish;Spain;Madrid;741258;Madrid;369;Product C;
